icao,name,city,state,country,lat,lon,timezone_id,mississippi_direction
KCNK,Blosser Muni,Concordia,KS,US,39.5498678,-97.6520406,America/Chicago,WEST
KCNM,Cavern City Air Trml,Carlsbad,NM,US,32.3374444,-104.2633611,America/Denver,WEST
KCNO,Chino,Chino,CA,US,33.9747793,-117.6364828,America/Los_Angeles,WEST
KCNP,Billy G Ray Fld,Chappell,NE,US,41.0774722,-102.4640556,America/Denver,WEST
KCNU,Chanute Martin Johnson,Chanute,KS,US,37.6678889,-95.4867222,America/Chicago,WEST
KCNW,Tstc Waco,Waco,TX,US,31.6378056,-97.0741389,America/Chicago,WEST
KCNY,Canyonlands Rgnl,Moab,UT,US,38.7576308,-109.7534625,America/Denver,WEST
KCOD,Yellowstone Rgnl,Cody,WY,US,44.5201944,-109.0238056,America/Denver,WEST
KCOE,"Coeur D''Alene/Pappy Boyington Fld","Coeur D'Alene",ID,US,47.7743056,-116.8195833,America/Los_Angeles,WEST
KCOI,Merritt Island,Merritt Island,FL,US,28.3416111,-80.6854722,America/New_York,EAST
KCOM,Coleman Muni,Coleman,TX,US,31.8411389,-99.4036111,America/Chicago,WEST
KCON,Concord Muni,Concord,NH,US,43.2027222,-71.5022778,America/New_York,EAST
KCOQ,Cloquet/Carlton County,Cloquet,MN,US,46.7011111,-92.5035556,America/Chicago,EAST
KCOS,Colorado Sprgs Muni,Colorado Springs,CO,US,38.8058167,-104.7007764,America/Denver,WEST
KCOT,Cotulla-La Salle County,Cotulla,TX,US,28.4557222,-99.2172222,America/Chicago,WEST
KCOU,Columbia Rgnl,Columbia,MO,US,38.8177353,-92.2177919,America/Chicago,WEST
KCPC,Columbus County Muni,Whiteville,NC,US,34.2728706,-78.7149872,America/New_York,EAST
KCPF,Wendell H Ford,Hazard,KY,US,37.3873636,-83.2615994,America/New_York,EAST
KCPK,Chesapeake Rgnl,Norfolk,VA,US,36.6656175,-76.3206558,America/New_York,EAST
KCPM,Compton/Woodley,Compton,CA,US,33.8899167,-118.2438056,America/Los_Angeles,WEST
KCPR,Casper/Natrona County Intl,Casper,WY,US,42.9058611,-106.4636389,America/Denver,WEST
KCPS,St Louis Downtown,Cahokia/St Louis,IL,US,38.5703611,-90.1550833,America/Chicago,EAST
KCPT,Cleburne Rgnl,Cleburne,TX,US,32.35375,-97.43375,America/Chicago,WEST
KCPU,Calaveras County,San Andreas,CA,US,38.1461111,-120.6481667,America/Los_Angeles,WEST
KCQA,Lakefield,Celina,OH,US,40.4842778,-84.5581944,America/New_York,EAST
KCQB,Chandler Rgnl,Chandler,OK,US,35.7240833,-96.8202778,America/Chicago,WEST
KCQF,H L Sonny Callahan,Fairhope,AL,US,30.4605,-87.8770278,America/Chicago,EAST
KCQM,Cook Muni,Cook,MN,US,47.8222817,-92.689525,America/Chicago,EAST
KCQW,Cheraw Municipal,Cheraw,SC,US,34.7128611,-79.957,America/New_York,EAST
KCQX,Chatham Muni,Chatham,MA,US,41.6883042,-69.9896519,America/New_York,EAST
